tconst,primaryTitle,startYear
tt0055715,Valparaiso,1964
tt0055733,Akt,1965
tt0055897,Delta Phase I,1962
tt0055943,A Tribute to Dylan Thomas,1961
tt0056152,Youth on Ice,1962
tt0056326,As Palavras e os Fios,1962
tt0056418,The Road to the Wall,1962
tt0056479,Scoicile nu au vorbit niciodata,1962
tt0056722,Zoo,1961
tt0056839,Atomic Lady,1963
tt0056849,Ballerina,1963
tt0057030,The Sonhrai Empire,1963
tt0057061,The Five Cities of June,1963
tt0057124,Happy Mother's Day,1963
tt0057377,Ochii orasului meu,1963
tt0057524,The Spirit of America,1963
tt0057576,Thirty Million Letters,1963
tt0057587,To Live Again,1963
tt0057588,A Toast to Portugal,1963
tt0057671,The Forgotten Army,1963
tt0057806,140 Days Under the World,1964
tt0057856,A National Railway Worker,1964
tt0057896,Bons baisers de Bangkok,1964
tt0057898,Breaking the Habit,1965
tt0057945,Children Without,1965
tt0058065,Es liegt an uns,1964
tt0058097,Der Film den niemand sieht,1964
tt0058141,Gimei shojo,1964
tt0058180,A Rebel's Fortress,1964
tt0058221,I Think They Call Him John,1964
tt0058260,Eskimo Artist: Kenojuak,1967
tt0058319,Maioria Absoluta,1964
tt0058410,Nine from Little Rock,1964
tt0058568,The Tomb of Youth,1964
tt0058727,Vivre en Espagne,1964
tt0058964,Beppie,1965
tt0059034,Le ciel - La terre,1966
tt0059247,The Trawler Incident: The Forgotten Typhoon Catastrophe,1965
tt0059302,IBM at the Fair,1965
tt0059366,Het korps Mariniers,1965
tt0059383,Let My People Go,1961
tt0059455,Pour le Mistral,1966
tt0059483,Mural on Our Street,1965
tt0059559,Ouverture,1965
tt0059609,Point of View,1966
tt0059652,Rheinstrom,1966
tt0059730,The Smithsonian Institute,1965
tt0059731,Snow,1963
tt0059763,Studentinnen,1965
tt0059789,Tenebrae factae sunt,1965
tt0059814,To Be Alive!,1964
tt0059848,Unterwegs zu uns,1965
tt0059902,Westinghouse in Alphabetical Order,1965
tt0059910,Wholly Communion,1966
tt0059926,Yeats Country,1965
tt0059937,Diary of Yunbogi,1965
tt0060069,Adolescence,1966
tt0060179,Body and Soul,1966
tt0060207,Il canale,1966
tt0060220,Castro Street,1966
tt0060259,Cowboy,1966
tt0060262,Cruzeiro do Sul,1966
tt0060366,A Embalagem de Vidro,1966
tt0060385,Every Girl's Dream,1966
tt0060669,Marcel Allain,1966
tt0060687,Meet Marlon Brando,1966
tt0060763,La nouvelle orangerie,1966
tt0060775,Od 3 do 22,1966
tt0060776,The Odds Against,1966
tt0060898,Ritmuri si imagini,1966
tt0060915,Rose Colored Dance,1966
tt0060917,Rotterdam-Europoort,1966
tt0060927,Saint Matthew Passion,1966
tt0061192,Wild Wings,1965
tt0061205,A Year Toward Tomorrow,1966
tt0061318,6-18-67,1967
tt0061501,The Comedians in Africa,1967
tt0061577,Diptych,1967
tt0061603,Dynamitfischerei,1967
tt0061621,The Emperor,1967
tt0061950,Manfred Schoof-Quintett,1967
tt0061990,Monument to the Dream,1967
tt0062131,A Place to Stand,1967
tt0062184,The Redwoods,1967
tt0062246,See You at the Pillar,1967
tt0062278,Sky Over Holland,1967
tt0062339,Tapetes de Viana do Castelo,1968
tt0062349,Rota do Progresso,1964
tt0062419,Undici immigrati,1967
tt0062442,Victims of Vesuvius,1967
tt0062489,While I Run This Race,1967
tt0062718,Le beau plaisir,1968
tt0062970,Filmmaker,1968
tt0063096,The House That Ananda Built,1968
tt0063287,Me gustan los estudiantes,1968
tt0063447,Por um Fio...,1968
tt0063504,The Revolving Door,1969
tt0063514,Robert Kennedy Remembered,1968
tt0063524,Die rote Fahne,1968
tt0063525,A Rough Sketch for a Proposed Film Dealing with the Powers of Ten and the Relative Size of Things in the Universe,1968
tt0063632,A Space to Grow,1968
tt0063796,A Way Out of the Wilderness,1968
tt0063832,Z miasta Lodzi,1969
tt0064477,An Impression of John Steinbeck: Writer,1969
tt0064511,Jenny Is a Good Thing,1969
tt0064518,Jour de tournage,1969
tt0064562,Kyoto,1969
tt0064581,Leo Beuerman,1969
tt0064589,Life-Raft Earth,1969
tt0064623,The Magic Machines,1969
tt0064668,Militarismo y tortura,1969
tt0064795,The Pearl of the Atlantic,1969
tt0064957,Seilfahrt 69,1969
tt0065114,Tops,1969
tt0065157,Untermann - Obermann,1969
tt0065508,Bylem zolnierzem,1971
tt0065779,The Gifts,1970
tt0065998,A Long Way from Nowhere,1970
tt0066100,On vous parle de Paris: Maspero. Les mots ont un sens,1970
